17 Marzo,2/10|Panna Liquida|Alcune Gocce|Liquore Allo Zabaglione|2/10|Vanil Zucca|3/10|Illycaffè Espresso|3/10|China Martini
Acciughe Al Limone (3),500 G|Acciughe Fresche||Succo Di Limone||Sale||Pepe||Per Servire:||Olio D'oliva|Alcune|Cipolline Fresche
Acciughe Al Limone (4),|Acciughe||Succo Di Limone||Olio D'oliva||Pepe||Sale
Acciughe Al Pomodoro,800 G|Acciughe Freschissime|400 G|Pomodori Sbollentati Spellati E Sminuzzati|3 Cucchiai|Olio D'oliva Extra-vergine|2 Spicchi|Aglio||Prezzemolo||Sale|Poco|Pepe Bianco
Acciughe Al Verde,|Acciughe Sotto Sale||Aceto Di Vino||Aglio||Prezzemolo||Olio D'oliva||Basilico||Peperoncino
Acciughe Al Verde (2),200 G|Acciughe||Aceto Di Vino|1 Spicchio|Aglio||Prezzemolo (solo Le Foglioline)|1|Peperoncino||Mollica Di Pane||Olio D'oliva
Acciughe Al Vino Bianco,800 G|Acciughe|2 Bicchieri|Vino Bianco|1|Carota|1|Cipolla|1 Gambo|Sedano||Olio D'oliva Extra-vergine||Origano||Aglio|1 Pizzico|Sale
Acciughe All'aglio,700 G|Acciughe Fresche|1/2|Limone|6 Spicchi|Aglio|4 Bicchieri|Acqua|1/2 Bicchiere|Olio D'oliva||Origano||Pepe||Sale
Acciughe Alla Povera,500 G|Acciughe|30 Cl|Aceto Di Vino Non Troppo Acido||Sale||Olio D'oliva Extra-vergine|1|Cipolla Rossa
Acciughe Alla Sanremasca,800 G|Acciughe|2|Limoni (succo)|1/4 Bicchiere|Olio D'oliva Extra-vergine||Sale|1 Spicchio|Aglio||Prezzemolo
Acciughe Alla Siciliana,24|Acciughe|400 G|Pomodori Maturi|2 Fette|Pancarré|2|Uova|3 Cucchiai|Formaggio Pecorino Dolce|1|Cipolla Piccola|2 Mazzetti|Basilico|2 Cucchiai|Capperi Sotto Sale|1 Pizzico|Origano|2 Cucchiai|Farina||Pangrattato|1/2 Bicchiere|Latte|6 Cucchiai|Olio D'oliva||Sale||Pepe
Acciughe Alle Olive,500 G|Acciughe Fresche|2 Spicchi|Aglio|1|Peperoncino|1/2 Bicchiere|Olio D'oliva|3|Limoni|100 G|Olive Nere Snocciolate||Prezzemolo
Acciughe Con Peperoni,|Acciughe||Olio D'oliva||Sale||Peperoni
Acciughe Con Salsa Verde,8|Acciughe Sotto Sale|1|Tuorlo D'uovo Sodo|1 Spicchio|Aglio|1 Cucchiaio|Aceto Di Vino||Peperoncino||Olio D'oliva||Sale
Acciughe Crude,500 G|Acciughe||Succo Di Limone||Aglio||Prezzemolo||Olio D'oliva||Sale||Peperoncino Macinato
Acciughe Crude Al Limone,500 G|Acciughe Freschissime|5|Limoni (succo)|25 Cl|Olio D'oliva (facoltativo)||Pepe Bianco|1 Pizzico|Sale
Acciughe E Uova,8|Uova|8|Filetti D'acciughe||Olio D'oliva
Acciughe Fritte,700 G|Acciughe||Latte||Farina||Olio D'oliva||Sale||Per Guarnire:|Alcuni Spicchi|Limone|Alcuni Ciuffi|Prezzemolo
"Acciughe Fritte, Marinate In Aceto E Porri",18|Acciughe Grandi|2|Porri|1 Ciuffetto|Finocchietto Selvatico||Farina||Pangrattato|1/2 Bicchiere|Aceto Di Vino|1 Filo|Olio D'oliva Extra-vergine||Sale||Pepe
Acciughe Gratinate,600 G|Acciughe|1|Limone|1/2 Bicchiere|Olio D'oliva|1 Spicchio|Aglio||Prezzemolo||Pangrattato||Sale
Acciughe Gratinate (2),800 G|Acciughe|1 Spicchio|Aglio|2 Pizzichi|Origano|1 Bicchierino|Aceto Di Vino||Olio D'oliva|1 Pizzico|Sale|1 Pizzico|Pepe
Acciughe Gratinate (3),600 G|Acciughe||Pangrattato|1 Mazzetto|Prezzemolo|1 Spicchio|Aglio|6 Cucchiai|Olio D'oliva||Sale
Acciughe Impanate,|Acciughe||Farina||Uovo||Pangrattato||Olio D'oliva
Acciughe In Aceto,1 Pezzo|Cipolla|1 Cucchiaio|Aceto Di Vino|250 G|Acciughe||Sale|1 Mazzetto|Prezzemolo|1 Spicchio|Aglio||Per Servire:||Pepe||Olio D'oliva||Prezzemolo Tritato||Aglio Tritato
Acciughe In Pangrattato,12|Acciughe Fresche|30 G|Capperi Sotto Sale|1 Spicchio|Aglio|1 Mazzetto|Prezzemolo||Olio D'oliva|2 Cucchiai|Pangrattato|1 Cucchiaio|Formaggio Parmigiano Grattugiato||Sale||Pepe
Acciughe In Saor,600 G|Acciughe Fresche|25 Cl|Olio Per Friggere|2|Cipolle Grandi Affettate Sottili|Alcuni Cucchiai|Farina|4 Cucchiai|Olio D'oliva|2 Bicchieri|Aceto Di Vino Bianco|50 G|Pinoli|40 G|Uvetta Sultanina
Acciughe In Teglia,20|Acciughe Freschissime|Abbondante|Prezzemolo Tritato||Pangrattato||Sale||Pepe||Olio D'oliva||Aceto Di Vino Bianco
Acciughe Marinate,500 G|Acciughe Piccole|1 Spicchio|Aglio|2|Limoni|1 Ciuffo|Prezzemolo||Olio D'oliva||Sale||Pepe
Acciughe Marinate (2),500 G|Acciughe Freschissime|2|Limoni|2 Cucchiai|Aceto Di Mele||Sale||Peperoncino||Aglio||Prezzemolo Tritato||Olio D'oliva Extra-vergine
Acciughe Olio E Limone,500 G|Acciughe|1/2 Bicchiere|Olio D'oliva|2|Limoni||Sale
Acciughe Ripiene,600 G|Acciughe|2|Panini||Latte|3|Uova|70 G|Formaggio Parmigiano Grattugiato||Sale||Pepe||Origano||Pangrattato||Olio D'oliva|Alcuni|Spicchi Di Limone
Acciughe Ripiene (2),600 G|Acciughe|2|Panini||Latte|2|Uova|2 Cucchiai|Formaggio Grattugiato||Origano||Pangrattato||Olio D'oliva||Sale||Pepe||Per Servire:|Alcuni Spicchi|Limoni
Acciughe Sotto Pesto,250 G|Acciughe Salate||Olio D'oliva||Prezzemolo||Aglio||Pepe
Acciughe Tartufate,600 G|Acciughe Sotto Sale|1|Tartufo Bianco||Olio D'oliva
Acciughe Tartufate (2),|Filetti D'acciughe Dissalati||Tartufo Bianco||Olio D'oliva
Acciughette Alla Ammiraglia,600 G|Acciughe|4|Limoni||Olio D'oliva||Sale||Pepe||Origano (facoltativo)
Acciughine Di Trebisacce,|Acciughe Piccole||Sale||Peperoncino Piccante Pestato||Olio D'oliva
Accordion,3/5|Brandy|1/5|Vermouth Dolce|1/5|Vermouth Dry|2 Cucchiai|Triple Sec
